,Random Forest,Gradient Boosting,XGBoost,LightGBM,Average
Total_Weighted_Score,0.8035548349004222,0.791602895055403,0.4137457,195,49.25222585781721
Mean_All_Scores,0.05019889625596607,0.0570412348826587,0.05131117,164,41.039637824989576
UnivRating_x_CGPA,0.006831389415162221,0.007633688964152077,0.007075881,155,38.755385239874784
Profile_Strength,0.017039769380760364,0.018588723512029053,0.034217976,143,35.76746161723162
Test_Performance,0.02751268532990183,0.02818805087508178,0.21693914,121,30.318159968147725
GRE_to_TOEFL_ratio,0.0039038812678143515,0.0036747908311170053,0.004944788,121,30.25313086498133
Academic_Score,0.0027827012036536567,0.002133296622138788,0.055518135,118,29.515108533313555
GRE_x_CGPA,0.013907938334050147,0.01583095140553376,0.043764625,113,28.26837587862106
GRE_x_TOEFL,0.01701477770504987,0.017931529300611215,0.019028217,101,25.263493630901518
GRE Score,0.0011566143959025302,0.0008452280666205707,0.0072662355,85,21.252317019500087
TOEFL Score,0.004031264723536085,0.0047830413687452574,0.0033828083,77,19.25304927859707
Test_Score_Avg,0.015875824117476612,0.01990236909573087,0.025360897,68,17.015284772599156
TOEFL_x_CGPA,0.0027895120588770704,0.003207420359113561,0.0052382266,58,14.502808789758221
SOP_to_LOR_ratio,0.00291626211397374,0.0020863861937554106,0.0034787974,53,13.2521203614233
Application_Strength,0.0035594013155371123,0.004106750821816263,0.013146535,52,13.005203171674866
CGPA,0.0010511575587722366,0.001469344871575305,0.0056504044,47,11.75204272670135
Score_Consistency,0.002634607247728058,0.002184238471300471,0.0031496393,47,11.751992121267115
LOR,0.00442059523235678,0.003646673181198942,0.003946586,36,9.00300346361498
SOP,0.0020158050872596425,0.0011387292739575257,0.003680799,36,9.001708833321203
Research_x_CGPA,0.0020335353273132606,0.0019650117463481673,0.0043109385,27,6.752077371400833
University Rating,0.001795022649395585,0.0016295809767482349,0.010649176,20,5.003518444985154
SOP_x_LOR,0.0028651143216015472,0.0016120368935514057,0.004227497,20,5.002176162091103
TOEFL_squared,0.0032366972957589384,0.0036525132498412775,0.015064434,15,3.7554884111734927
CGPA_squared,0.0013495223669233373,0.0007090722241853768,0.0041135387,15,3.751543033311873
GRE_squared,0.0010091083851099267,0.0013879318753822322,0.01284198,12,3.0038097550583776
Research,0.00018859655558967723,6.248716794257224e-06,0.008463944,6,1.502164697395211
High_Achiever,8.942021012544961e-05,3.0206242521322494e-05,0.015875665,4,1.0039988229809012
GRE_sqrt,0.0011732401585792202,0.0011141509894144726,0.0018705942,3,0.7510394963420574
TOEFL_Category,0.0005105474267717119,0.0003629138803317619,0.0,2,0.5002183653267759
CGPA_cubed,0.001018502910340714,0.00110816851669844,0.0017357026,1,0.25096559351243025
CGPA_Achievement,0.0012440198498144504,0.00039960923536682,0.0,0,0.0004109072712953176
GRE_Category,0.0001583897038731551,1.379369982594626e-05,0.0,0,4.3045850924775336e-05
CGPA_Category,0.00013036519460256116,1.3418600450646524e-05,0.0,0,3.594594876330192e-05
