Rank,Feature,SHAP_Importance,Relative_Impact_%
1,Total_Weighted_Score,0.047496,31.59
2,Test_Performance,0.02166,14.41
3,Mean_All_Scores,0.016153,10.74
4,Profile_Strength,0.015111,10.05
5,GRE_x_TOEFL,0.007749,5.15
6,Academic_Score,0.005674,3.77
7,UnivRating_x_CGPA,0.005427,3.61
8,Test_Score_Avg,0.005022,3.34
9,GRE Score,0.004343,2.89
10,Application_Strength,0.002861,1.9
11,GRE_x_CGPA,0.002173,1.45
12,University Rating,0.002066,1.37
13,GRE_squared,0.001779,1.18
14,TOEFL Score,0.001536,1.02
15,TOEFL_x_CGPA,0.001307,0.87
16,Research_x_CGPA,0.001247,0.83
17,GRE_to_TOEFL_ratio,0.001195,0.79
18,SOP_to_LOR_ratio,0.001073,0.71
19,Score_Consistency,0.001047,0.7
20,SOP_x_LOR,0.000873,0.58
21,LOR,0.000791,0.53
22,TOEFL_squared,0.000725,0.48
23,GRE_sqrt,0.000637,0.42
24,CGPA,0.000605,0.4
25,Research,0.000439,0.29
26,SOP,0.000423,0.28
27,CGPA_squared,0.000364,0.24
28,CGPA_cubed,0.000258,0.17
29,TOEFL_Category,0.000124,0.08
30,High_Achiever,0.000101,0.07
31,GRE_Category,5.1e-05,0.03
32,CGPA_Achievement,2.7e-05,0.02
33,CGPA_Category,0.0,0.0
